,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-03-31,17.241735989054305,-12.064535037584688,29.33970731893322,17.241735989054305,17.241735989054305,-8.830080492489632,-8.830080492489632,-8.830080492489632,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.05136739750933215,-0.05136739750933215,-0.05136739750933215,-7.72266164035944,-7.72266164035944,-7.72266164035944,0.0,0.0,0.0,8.411655496564673
1,2015-04-01,17.2122560204968,-13.741402146216611,27.799969437946892,17.2122560204968,17.2122560204968,-9.148252206008404,-9.148252206008404,-9.148252206008404,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.1830499229710817,-0.1830499229710817,-0.1830499229710817,-7.909150828416464,-7.909150828416464,-7.909150828416464,0.0,0.0,0.0,8.064003814488395
2,2015-04-02,17.182776051939292,-13.421534830089588,27.989278919810843,17.182776051939292,17.182776051939292,-9.695691370996647,-9.695691370996647,-9.695691370996647,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5576679050919574,-0.5576679050919574,-0.5576679050919574,-8.08197201128383,-8.08197201128383,-8.08197201128383,0.0,0.0,0.0,7.487084680942646
3,2015-04-03,17.153296083381782,-15.072423218339901,28.65609025201685,17.153296083381782,17.153296083381782,-9.75940107802178,-9.75940107802178,-9.75940107802178,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.4598716945283293,-0.4598716945283293,-0.4598716945283293,-8.243477928872592,-8.243477928872592,-8.243477928872592,0.0,0.0,0.0,7.393895005360003
4,2015-04-04,17.123816114824276,-12.444633779860286,27.821179460169947,17.123816114824276,17.123816114824276,-9.478772222743238,-9.478772222743238,-9.478772222743238,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.026756625747638856,-0.026756625747638856,-0.026756625747638856,-8.39596414237474,-8.39596414237474,-8.39596414237474,0.0,0.0,0.0,7.645043892081038
5,2015-04-05,17.09433614626677,-13.372219116767551,28.397156423945304,17.09433614626677,17.09433614626677,-10.109816218966376,-10.109816218966376,-10.109816218966376,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5122059971645619,-0.5122059971645619,-0.5122059971645619,-8.541558767180954,-8.541558767180954,-8.541558767180954,0.0,0.0,0.0,6.9845199273003935
6,2015-04-06,17.064856177709263,-11.342958602697152,29.913411837683118,17.064856177709263,17.064856177709263,-7.947251545642569,-7.947251545642569,-7.947251545642569,-1.056051454620859,-1.056051454620859,-1.056051454620859,1.7909195430081353,1.7909195430081353,1.7909195430081353,-8.682119634029846,-8.682119634029846,-8.682119634029846,0.0,0.0,0.0,9.117604632066694
7,2015-04-07,17.035376209151757,-13.626158216174893,27.356720108786327,17.035376209151757,17.035376209151757,-9.926561299462202,-9.926561299462202,-9.926561299462202,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.051367397507085646,-0.051367397507085646,-0.051367397507085646,-8.819142447334256,-8.819142447334256,-8.819142447334256,0.0,0.0,0.0,7.1088149096895545
8,2015-04-08,17.00589624059425,-13.20425974177883,29.657092764843295,17.00589624059425,17.00589624059425,-10.192784533547263,-10.192784533547263,-10.192784533547263,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.18304992296712996,-0.18304992296712996,-0.18304992296712996,-8.953683155959274,-8.953683155959274,-8.953683155959274,0.0,0.0,0.0,6.813111707046987
9,2015-04-09,16.97641627203674,-13.282586341733204,28.326191219370045,16.97641627203674,16.97641627203674,-10.700016656101623,-10.700016656101623,-10.700016656101623,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5576679050864832,-0.5576679050864832,-0.5576679050864832,-9.08629729639428,-9.08629729639428,-9.08629729639428,0.0,0.0,0.0,6.276399615935118
10,2015-04-10,16.946936303479234,-14.5878257718798,27.9592421445886,16.946936303479234,16.946936303479234,-10.732921674371294,-10.732921674371294,-10.732921674371294,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.4598716945247881,-0.4598716945247881,-0.4598716945247881,-9.216998525225646,-9.216998525225646,-9.216998525225646,0.0,0.0,0.0,6.21401462910794
11,2015-04-11,16.917456334921727,-13.92364619745271,28.26053214556807,16.917456334921727,16.917456334921727,-10.428046023770984,-10.428046023770984,-10.428046023770984,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.026756625746827495,-0.026756625746827495,-0.026756625746827495,-9.345237943403296,-9.345237943403296,-9.345237943403296,0.0,0.0,0.0,6.489410311150744
12,2015-04-12,16.88797636636422,-14.597434077713011,26.714161488598876,16.88797636636422,16.88797636636422,-11.038162599636632,-11.038162599636632,-11.038162599636632,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5122059971640914,-0.5122059971640914,-0.5122059971640914,-9.46990514785168,-9.46990514785168,-9.46990514785168,0.0,0.0,0.0,5.849813766727589
13,2015-04-13,16.85849639780671,-13.92761995514883,28.081217682345095,16.85849639780671,16.85849639780671,-8.85448315828091,-8.85448315828091,-8.85448315828091,-1.056051454620859,-1.056051454620859,-1.056051454620859,1.7909195430082832,1.7909195430082832,1.7909195430082832,-9.589351246668334,-9.589351246668334,-9.589351246668334,0.0,0.0,0.0,8.0040132395258
14,2015-04-14,16.829016429249204,-15.645455080352301,25.338117446650585,16.829016429249204,16.829016429249204,-10.808852216023542,-10.808852216023542,-10.808852216023542,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.05136739750745736,-0.05136739750745736,-0.05136739750745736,-9.701433363895227,-9.701433363895227,-9.701433363895227,0.0,0.0,0.0,6.020164213225662
15,2015-04-15,16.799536460691698,-16.681128070878593,27.289374254476655,16.799536460691698,16.799536460691698,-11.042680837872517,-11.042680837872517,-11.042680837872517,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.18304992297267814,-0.18304992297267814,-0.18304992297267814,-9.803579460278979,-9.803579460278979,-9.803579460278979,0.0,0.0,0.0,5.756855622819181
16,2015-04-16,16.770056492134188,-16.23408950744508,24.611358325669396,16.770056492134188,16.770056492134188,-11.506590988753695,-11.506590988753695,-11.506590988753695,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5576679050899633,-0.5576679050899633,-0.5576679050899633,-9.892871629042872,-9.892871629042872,-9.892871629042872,0.0,0.0,0.0,5.263465503380493
17,2015-04-17,16.74057652357668,-16.524712878652508,26.029808094557154,16.74057652357668,16.74057652357668,-11.482068560098446,-11.482068560098446,-11.482068560098446,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.4598716945307423,-0.4598716945307423,-0.4598716945307423,-9.966145410946845,-9.966145410946845,-9.966145410946845,0.0,0.0,0.0,5.258507963478236
